codeD,date_obs,t_moy
1,"05/05/2023",19
1,"05/06/2019",23
1,"05/06/2020",14
1,"05/06/2021",17
1,"05/06/2022",22
1,"05/06/2023",20
1,"05/07/2019",24
1,"05/07/2020",21
1,"05/07/2021",22
1,"05/07/2022",20
1,"05/07/2023",22
1,"05/08/2019",24
1,"05/08/2020",19
1,"05/08/2021",19
1,"05/08/2022",27
1,"05/08/2023",17
1,"05/09/2019",15
1,"05/09/2020",25
1,"05/09/2021",20
1,"05/09/2022",24
1,"05/09/2023",27
1,"05/10/2019",14
1,"05/10/2020",12
1,"05/10/2021",12
1,"05/10/2022",17
1,"05/10/2023",14
1,"05/11/2019",11
1,"05/11/2020",10
1,"05/11/2021",6
1,"05/11/2022",9
1,"05/11/2023",13
1,"05/12/2019",-1
1,"05/12/2020",2
1,"05/12/2021",3
1,"05/12/2022",4
1,"05/12/2023",7
1,"06/01/2019",2
1,"06/01/2020",4
1,"06/01/2021","0"
1,"06/01/2022",2
1,"06/01/2023",9
1,"06/02/2019",1
1,"06/02/2020",2
1,"06/02/2021",12
1,"06/02/2022",3
1,"06/02/2023",4
1,"06/03/2019",11
1,"06/03/2020",6
1,"06/03/2021",5
1,"06/03/2022",1
1,"06/03/2023",3
1,"06/04/2019",10
1,"06/04/2020",16
1,"06/04/2021",3
1,"06/04/2022",10
1,"06/04/2023",7
1,"06/05/2019",7
1,"06/05/2020",15
1,"06/05/2021",9
1,"06/05/2022",13
1,"06/05/2023",19
1,"06/06/2019",15
1,"06/06/2020",18
1,"06/06/2021",17
1,"06/06/2022",19
1,"06/06/2023",20
1,"06/07/2019",25
1,"06/07/2020",20
1,"06/07/2021",16
1,"06/07/2022",19
1,"06/07/2023",21
1,"06/08/2019",25
1,"06/08/2020",22
1,"06/08/2021",21
1,"06/08/2022",25
1,"06/08/2023",17
1,"06/09/2019",13
1,"06/09/2020",17
1,"06/09/2021",21
1,"06/09/2022",26
1,"06/09/2023",25
1,"06/10/2019",14
1,"06/10/2020",13
1,"06/10/2021",11
1,"06/10/2022",19
1,"06/10/2023",14
1,"06/11/2019",10
1,"06/11/2020",10
1,"06/11/2021",5
1,"06/11/2022",9
1,"06/11/2023",12
1,"06/12/2019",1
1,"06/12/2020",2
1,"06/12/2021",2
1,"06/12/2022","0"
1,"06/12/2023",4
