codeD,nomD,age0_19,age20_39,age40_59,age60_74,age75_plus,total
1,Ain,169605,149821,181185,107629,57151,665391
10,Aube,74862,70017,77295,56473,32436,311083
11,Aude,79715,72105,97739,80958,49327,379844
12,Aveyron,55265,53089,71524,60524,39852,280254
13,Bouches-du-Rh̫ne,483436,489974,526957,348795,213337,2062499
14,Calvados,156612,159879,172228,132852,73739,695310
15,Cantal,26719,25449,37595,33047,20470,143280
16,Charente,70991,70201,90375,74163,44568,350298
17,Charente-Maritime,129011,122942,167067,148793,91669,659482
18,Cher,61174,58207,75626,63680,38217,296904
19,Corr̬ze,46779,44479,61087,52816,33284,238445
2,Aisne,127886,113607,132928,99375,50607,524403
21,C̫te-d'Or,118118,130903,133327,96670,55406,534424
22,C̫tes-d'Armor,130658,110172,152841,129855,77828,601354
23,Creuse,20160,18961,28852,28494,17244,113711
24,Dordogne,75948,71510,105260,97457,60912,411087
25,Doubs,133492,131707,137198,91880,53295,547572
26,Dr̫me,124501,110679,135060,96677,57589,524506
27,Eure,147534,126056,158124,108946,53225,593885
28,Eure-et-Loir,105867,89422,112852,77267,42368,427776
29,Finist̬re,198612,193661,237703,186276,106545,922797
2A,Corse-du-Sud,32848,32709,45141,31138,20478,162314
2B,Haute-Corse,38265,42627,49061,35537,21661,187151
3,Allier,66254,62020,83598,72268,47617,331757
30,Gard,168506,154424,195289,149899,85318,753436
31,Haute-Garonne,343415,405739,373055,211050,118796,1452055
32,Gers,37655,33545,50584,42761,27734,192279
33,Gironde,383929,423758,439976,277748,155919,1681330
34,H̩rault,275588,294538,301730,214999,130932,1217787
35,Ille-et-Vilaine,275115,277041,285664,171869,98171,1107860
36,Indre,42116,39179,54547,47858,31331,215031
37,Indre-et-Loire,140886,140180,154898,111475,65967,613406
38,Is̬re,320370,304092,337011,207704,116738,1285915
39,Jura,56466,51089,67780,51252,30541,257128
4,Alpes-de-Haute-Provence,33620,30724,42956,36032,22250,165582
40,Landes,86479,78984,114080,90339,52450,422332
41,Loir-et-Cher,71228,62292,84034,66657,41387,325598
42,Loire,184379,169894,190225,137052,85999,767549
43,Haute-Loire,49680,43287,60107,47177,26973,227224
44,Loire-Atlantique,367807,364532,381147,236836,127779,1478101
45,Loiret,172206,156116,173128,117631,67119,686200
46,Lot,31288,29911,43740,42580,27003,174522
47,Lot-et-Garonne,69164,63500,83217,68579,44675,329135
48,Loz̬re,15458,14833,20034,16490,9758,76573
49,Maine-et-Loire,200402,190261,205462,143047,86069,825241
5,Hautes-Alpes,29263,26865,37157,30480,17294,141059
50,Manche,103797,96639,124619,103696,62530,491281
51,Marne,132820,137652,140943,98762,52368,562545
52,Haute-Marne,34077,33690,42485,35533,20558,166343
53,Mayenne,73554,62816,78641,56499,34360,305870
54,Meurthe-et-Moselle,166746,185787,182981,127125,68367,731006
55,Meuse,38819,36928,45824,37353,19232,178156
56,Morbihan,166509,147030,199184,164555,93643,770921
57,Moselle,229422,243411,277755,195230,98580,1044398
58,Ni̬vre,37983,35267,48945,47491,29687,199373
59,Nord,667669,663951,649592,418101,207560,2606873
6,Alpes-Maritimes,235014,237106,286618,201508,143309,1103555
60,Oise,213925,194270,221849,137592,65377,833013
61,Orne,57994,51833,68645,58867,35875,273214
62,Pas-de-Calais,360073,335450,372114,262009,126909,1456555
63,Puy-de-D̫me,149263,157495,171013,123797,70926,672494
64,Pyr̩n̩es-Atlantiques,142644,143704,183127,135362,86933,691770
65,Hautes-Pyr̩n̩es,44917,44893,59129,50569,31506,231014
66,Pyr̩n̩es-Orientales,102626,94903,122647,99556,65664,485396
67,Bas-Rhin,260154,290769,303579,200033,102011,1156546
68,Haut-Rhin,173613,172205,208062,140710,73967,768557
69,Rh̫ne,479828,532554,469170,266377,164144,1912073
7,Ard̬che,70816,61675,87687,69557,41130,330865
70,Haute-Sa̫ne,51359,45464,61857,47904,25947,232531
71,Sa̫ne-et-Loire,116402,103920,139726,114899,71630,546577
72,Sarthe,134203,119253,142509,106211,62412,564588
73,Savoie,100121,97616,118666,79945,45706,442054
74,Haute-Savoie,208734,207716,235549,128590,69536,850125
75,Paris,401664,708578,539440,310928,179297,2139907
76,Seine-Maritime,300258,299734,308987,222501,122116,1253596
77,Seine-et-Marne,391132,359246,384424,210661,98333,1443796
78,Yvelines,390258,343629,396524,212744,120554,1463709
79,Deux-S̬vres,83877,73755,98478,73688,44628,374426
8,Ardennes,60125,55725,69077,52834,27524,265285
80,Somme,132077,135161,143281,101551,54258,566328
81,Tarn,84530,75769,102772,79276,50699,393046
82,Tarn-et-Garonne,62969,52549,70558,49100,29040,264216
83,Var,224984,219881,279809,220346,150544,1095564
84,Vaucluse,131540,117749,145447,105145,63047,562928
85,Vend̩e,155953,134081,178800,146705,83757,699296
86,Vienne,99448,103094,107556,81266,48800,440164
87,Haute-Vienne,77134,78895,92659,74736,46381,369805
88,Vosges,75538,70923,93187,76419,42108,358175
89,Yonne,72667,64298,84948,68575,39586,330074
9,Ari̬ge,30498,28773,40180,33192,20483,153126
90,Territoire-de-Belfort,31851,31894,35903,24740,13326,137714
91,Essonne,356828,334014,345228,182755,96579,1315404
92,Hauts-de-Seine,405332,455709,438829,220262,122948,1643080
93,Seine-Saint-Denis,488305,470896,429842,202830,86494,1678367
94,Val-de-Marne,367442,396722,371677,196255,102255,1434351
95,Val-d'Oise,366318,330385,328578,173791,77462,1276534
